FileName,MeanUxEastward,MeanUyNorthward,Mean|U|adcp,angleADCP,Date,Time,MeanUxAGA,MeanUyAGA,Mean|U|aga,angleAGA,MeanUxGS,MeanUyGS,Mean|U|gs,angleGS
F1_DJI_0004,0.1094,0.1952,0.2237,60.73,04/03/2022,8:12:08,0.1174,0.2276,0.3225,62.71,0.9405,0.5758,1.4235,31.47
F1_DJI_0005,0.1094,0.1952,0.2237,60.73,04/03/2022,8:14:42,0.2083,0.1857,0.37,41.71,1.2525,-0.1886,1.8275,-8.567
F1_DJI_0006,0.1565,0.1369,0.2079,41.17,04/03/2022,8:16:45,0.1163,0.2224,0.321,62.39,1.0462,0.3753,1.7377,19.73
F1_DJI_0007,0.1565,0.1369,0.2079,41.17,04/03/2022,8:18:47,0.1389,0.1608,0.2801,49.17,1.0553,0.1427,1.6793,7.7
F2_DJI_0003,0.1688,0.0937,0.1931,29.03,04/03/2022,8:42:05,0.2579,0.139,0.3319,28.32,1.9365,-0.5039,2.2389,-14.58
F2_DJI_0004,0.1688,0.0937,0.1931,29.03,04/03/2022,8:44:22,0.2879,0.0901,0.36,17.37,1.4463,-0.0668,1.8786,-2.64
F2_DJI_0005,0.101,0.1327,0.1667,52.72,04/03/2022,8:46:24,0.1786,0.1394,0.2941,37.97,1.1924,0.1673,1.5892,7.98
F2_DJI_0006,0.101,0.1327,0.1667,52.72,04/03/2022,8:48:31,0.2786,0.0834,0.3339,16.66,1.0707,0.3161,1.4839,16.44
F2_DJI_0007,0.101,0.1327,0.1667,52.72,04/03/2022,8:50:34,0.2425,0.0893,0.2584,20.21,1.3346,-0.0809,1.337,-3.45
F3_DJI_0003,0.1341,0.1208,0.1804,42.01,04/03/2022,9:13:00,-0.0017,0.1562,0.3649,90.36,0.9718,-0.6898,1.7713,-35.38
F3_DJI_0004,0.1169,0.1424,0.1842,50.61,04/03/2022,9:15:25,0.0412,0.1453,0.2898,74.16,1.6225,-0.0721,1.996,-2.54
F3_DJI_0005,0.1169,0.1424,0.1842,50.61,04/03/2022,9:17:28,0.2347,0.0905,0.2826,21.08,0.9965,-0.3785,1.5697,-20.79
F3_DJI_0006,0.1169,0.1424,0.1842,50.61,04/03/2022,9:19:30,0.2453,-0.0078,0.3254,-1.8212,1.121,-0.7089,1.8125,-32.3
F3_DJI_0007,0.1169,0.1424,0.1842,50.61,04/03/2022,9:21:32,0.1329,0.1032,0.2496,37.83,1.4213,0.304,1.7484,12.07
F4_DJI_0003,0.0832,0.1473,0.1691,60.54,04/03/2022,9:39:24,0.2304,0.0842,0.349,20.07,1.5289,0.1976,1.9132,7.36
F4_DJI_0004,0.0832,0.1473,0.1691,60.54,04/03/2022,9:41:54,0.1691,0.0486,0.2476,16.03,0.8911,-0.2909,1.8438,-18.07
F4_DJI_0005,0.0832,0.1473,0.1691,60.54,04/03/2022,9:43:57,0.2465,0.01,0.2667,2.32,1.0725,-0.3511,1.6227,-18.12
F4_DJI_0006,0.111,0.1098,0.1562,44.68,04/03/2022,9:45:59,0.1676,0.0791,0.2516,25.26,1.2017,-0.1567,1.5749,-7.429
F4_DJI_0007,0.111,0.1098,0.1562,44.68,04/03/2022,9:48:03,0.1758,0.0809,0.229,24.71,1.0171,0.0444,1.5306,2.49
F5_DJI_0006,0.0475,0.038,0.0608,38.65,04/03/2022,11:47:18,0.0855,-0.0058,0.1738,-3.88,1.031,-0.7882,1.6875,-37.39
F5_DJI_0007,0.0475,0.038,0.0608,38.65,04/03/2022,11:49:32,0.1711,0.0057,0.2051,1.91,0.9508,-0.0735,1.1341,-4.42
F5_DJI_0008,0.0475,0.038,0.0608,38.65,04/03/2022,11:51:33,0.0511,0.1145,0.2653,65.95,1.2042,-0.3531,1.4012,-16.34
F5_DJI_0009,0.0475,0.038,0.0608,38.65,04/03/2022,11:53:35,-0.0001,0.0548,0.2875,90.11,1.0559,-1.0582,1.7325,-45.062
F5_DJI_0010,0.0497,0.0398,0.0636,38.68,04/03/2022,11:55:40,0.0887,-0.0366,0.1804,-22.42,0.6697,-0.6103,1.1849,-42.34
F6_DJI_0013,0.0219,0.0553,0.0594,68.39,04/03/2022,12:05:28,0.0719,-0.0123,0.1496,-9.7,0.9557,-0.9603,1.6501,-45.13
F6_DJI_0014,0.0219,0.0553,0.0594,68.39,04/03/2022,12:07:42,0.1522,-0.06,0.2278,-21.51,0.8601,-0.6219,1.4029,-35.86
F6_DJI_0015,0.0219,0.0553,0.0594,68.39,04/03/2022,12:09:44,0.0878,-0.0511,0.1841,-30.19,0.9061,-0.6899,1.3675,-37.28
F6_DJI_0016,0.0219,0.0553,0.0594,68.39,04/03/2022,12:11:45,0.1897,-0.0676,0.2973,-19.61,1.261,-0.9961,1.7606,-38.31
F6_DJI_0017,0.0219,0.0553,0.0594,68.39,04/03/2022,12:13:47,0.0768,-0.0569,0.1592,-36.53,0.8501,-0.8718,1.5288,-45.722
